"PORTAL";"URL_ANUNCIO";"COD_POSTAL";"MUNICIPIO";"DISTRITO";"BARRIO";"PRECIO";"M2";"FECHA_PROCESADO"
idealista;http://www.idealista.com/2288464;"28803";Alcalá de Henares;Rinconada;;"450";"65";"2017-11-01"
idealista;http://www.idealista.com/2288594;"28891";Velilla de San Antonio;;;"1300";"423";"2017-11-01"
idealista;http://www.idealista.com/2288609;"28039";Madrid;Tetuán;Bellas Vistas;"650";"76";"2017-11-01"
idealista;http://www.idealista.com/2289029;"28330";San Martín de la Vega;;;"450";"63";"2017-11-01"
idealista;http://www.idealista.com/2289555;"28050";Madrid;Hortaleza;Sanchinarro;"3395";"175";"2017-11-01"
idealista;http://www.idealista.com/2290301;"28760";Tres Cantos;Segunda Fase;;"2500";"180";"2017-11-01"
idealista;http://www.idealista.com/2290694;"28660";Boadilla del Monte;Sector B;;"1919";"147";"2017-11-01"
idealista;http://www.idealista.com/2290746;"28108";La Moraleja;Arroyo de la Vega;;"4521";"404";"2017-11-01"
idealista;http://www.idealista.com/2291661;"28370";Chinchón;;;"1400";"345";"2017-11-01"
idealista;http://www.idealista.com/2292286;"28891";Velilla de San Antonio;;;"350";"89";"2017-11-01"
idealista;http://www.idealista.com/2292422;"28027";Madrid;San Blas;Salvador;"1200";"72";"2017-11-01"
